"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3139473","fecal sample from HMP2: Subject P6009C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472309","","3009.14","1","40035824","7915718271","G95812_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139472","fecal sample from HMP2: Subject H4009C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472308","","1345.93","1","18178475","3602941553","G95813_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139471","fecal sample from HMP2: Subject H4013C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472307","","1269.25","1","16936217","3354917444","G95806_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139470","fecal sample from HMP2: Subject H4008C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472306","","1057.62","1","14140755","2805728717","G95807_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139469","fecal sample from HMP2: Subject H4008C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472304","","1138.32","1","15156135","3005047516","G95804_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139468","fecal sample from HMP2: Subject H4010C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472305","","1245.83","1","16716043","3316164705","G95805_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139467","fecal sample from HMP2: Subject C3013C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472303","","2707.91","1","36419948","7213511158","G95810_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139466","fecal sample from HMP2: Subject C3020C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472302","","571.01","1","7608845","1506351855","G95811_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139465","fecal sample from HMP2: Subject H4017C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472301","","1518.27","1","20453724","4053875918","G95808_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139464","fecal sample from HMP2: Subject H4013C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472300","","1427.26","1","19325617","3838916018","G95809_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139463","fecal sample from HMP2: Subject H4012C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472299","","1288.17","1","9827329","1935819995","G80070_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139462","fecal sample from HMP2: Subject M2014C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472298","","3160.58","1","23052039","4492584405","G80069_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139461","fecal sample from HMP2: Subject M2008C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472297","","1516.2","1","11005231","2129728118","G80059_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139460","fecal sample from HMP2: Subject H4010C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472296","","707.59","1","5498877","1072997970","G80051_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139459","fecal sample from HMP2: Subject E5008C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472295","","1496.85","1","11649087","2298495291","G80062_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139458","fecal sample from HMP2: Subject C3007C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472294","","806.17","1","5820097","1122555072","G80060_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139457","fecal sample from HMP2: Subject H4007C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472293","","2151.49","1","15683394","3053271891","G80038_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139456","fecal sample from HMP2: Subject C3010C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472292","","2199.2","1","16865637","3335006024","G80037_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139455","fecal sample from HMP2: Subject H4014C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472291","","510.14","1","3723450","722601178","G80042_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139454","fecal sample from HMP2: Subject C3008C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472290","","2407.88","1","17641526","3438110437","G80040_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139453","fecal sample from HMP2: Subject C3009C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472289","","1319.25","1","17583495","3480308815","G95735_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139452","fecal sample from HMP2: Subject H4009C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472288","","1740.04","1","23166980","4592149367","G95736_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139451","fecal sample from HMP2: Subject M2082C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472287","","1126.78","1","13706266","2666491817","G95726_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139450","fecal sample from HMP2: Subject H4038C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472286","","1074.76","1","13112540","2564424546","G95728_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139449","fecal sample from HMP2: Subject H4045C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472285","","795.6","1","9515342","1859737070","G95729_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139448","fecal sample from HMP2: Subject H4006C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472284","","1319.15","1","17666981","3501324422","G95730_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139447","fecal sample from HMP2: Subject H4009C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472283","","1477.9","1","20158501","3991598150","G95731_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139446","fecal sample from HMP2: Subject M2034C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472282","","418.56","1","5591327","1108544921","G95732_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139445","fecal sample from HMP2: Subject H4015C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472281","","1480.71","1","19877634","3934249788","G95733_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139444","fecal sample from HMP2: Subject M2041C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472280","","1415.5","1","19008778","3763150539","G95734_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139443","fecal sample from HMP2: Subject H4008C13_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472279","","924.34","1","12226326","2415334265","G95823_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139442","fecal sample from HMP2: Subject C3011C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472278","","826.8","1","11161452","2211119526","G95822_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139441","fecal sample from HMP2: Subject H4016C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472277","","40.99","1","547148","108445582","G95802_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139440","fecal sample from HMP2: Subject H4008C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472276","","1238.34","1","16548970","3277429933","G95803_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139439","fecal sample from HMP2: Subject C3037C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472275","","744.23","1","9813243","1938872143","G95793_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139438","fecal sample from HMP2: Subject M2075C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472274","","2151.02","1","28714174","5693352679","G95795_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139437","fecal sample from HMP2: Subject C3017C24_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472273","","1185.98","1","15867353","3134153917","G95791_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139436","fecal sample from HMP2: Subject M2077C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472272","","2466.31","1","33089707","6555143023","G95792_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139435","fecal sample from HMP2: Subject M2091C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472271","","993.99","1","13262812","2619555673","G95799_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139434","fecal sample from HMP2: Subject P6009C24_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472270","","1231.79","1","16307702","3226478347","G95801_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139433","fecal sample from HMP2: Subject H4044C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472269","","1107.09","1","14815826","2934773250","G95796_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139432","fecal sample from HMP2: Subject P6033C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472268","","1055.39","1","14083520","2784599593","G95797_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139431","fecal sample from HMP2: Subject E5013C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472267","","1418.12","1","17363500","3401854894","G95642_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139430","fecal sample from HMP2: Subject H4018C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472266","","204.22","1","2460927","479674723","G95643_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139429","fecal sample from HMP2: Subject H4009C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472265","","1004.25","1","12306478","2403706381","G95640_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139428","fecal sample from HMP2: Subject C3013C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472264","","398.21","1","4790607","936126931","G95641_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139427","fecal sample from HMP2: Subject M2042C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472263","","995.09","1","12213436","2390986264","G95638_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139426","fecal sample from HMP2: Subject E5009C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472262","","1330.34","1","16116451","3145437248","G95639_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139425","fecal sample from HMP2: Subject C3008C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472261","","1163.51","1","14263299","2785398988","G95636_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139424","fecal sample from HMP2: Subject C3012C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472260","","492.36","1","5968429","1166542983","G95637_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139423","fecal sample from HMP2: Subject H4013C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472259","","677.79","1","8316863","1630130770","G95634_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139422","fecal sample from HMP2: Subject H4010C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472258","","481.38","1","5927538","1152144321","G95635_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139421","fecal sample from HMP2: Subject M2081C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472257","","826.03","1","10089286","1976388497","G95721_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139420","fecal sample from HMP2: Subject C3033C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472256","","655.19","1","7989668","1554035887","G95720_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139419","fecal sample from HMP2: Subject H4040C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472255","","1474.57","1","18166138","3566181421","G95719_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139418","fecal sample from HMP2: Subject C3011C24_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472254","","945.95","1","11584871","2262932491","G95717_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139417","fecal sample from HMP2: Subject C3017C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472253","","1318.96","1","16018827","3132104055","G95715_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139416","fecal sample from HMP2: Subject P6009C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472252","","649.8","1","7770704","1510231431","G95714_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139415","fecal sample from HMP2: Subject P6009C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472251","","618.46","1","7631083","1495489475","G95713_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139414","fecal sample from HMP2: Subject C3034C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472250","","192.98","1","2356307","459749791","G95711_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139413","fecal sample from HMP2: Subject H4024C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472249","","1178.32","1","15650060","3103187245","G95815_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139412","fecal sample from HMP2: Subject H4042C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472248","","627.88","1","7668689","1499620284","G95725_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139411","fecal sample from HMP2: Subject M2085C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472247","","51.9","1","632527","123940335","G95723_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139410","fecal sample from HMP2: Subject C3017C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472246","","875.85","1","11579311","2292938032","G95790_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139409","fecal sample from HMP2: Subject C3036C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472245","","677.89","1","8945613","1763491057","G95789_MGX","WGS","METAGENOMIC","RANDOM"
