"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3678499","16S Biopsy Sample C3034CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939124","","8.08","1","28107","14053500","C3034CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678498","16S Biopsy Sample M2026CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939121","","15.85","1","55825","27912500","M2026CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678497","16S Biopsy Sample M2026CSC3_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939120","","9.11","1","32194","16097000","M2026CSC3_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678496","16S Biopsy Sample M2025CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939119","","17.99","1","63045","31522500","M2025CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678495","16S Biopsy Sample M2025CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939118","","14.89","1","52410","26205000","M2025CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678494","16S Biopsy Sample M2025CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939117","","14.85","1","51046","25523000","M2025CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678493","16S Biopsy Sample M2026CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939116","","9.11","1","31902","15951000","M2026CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678492","16S Biopsy Sample M2021CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939115","","9.59","1","33369","16684500","M2021CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678491","16S Biopsy Sample M2021CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939112","","5.26","1","18455","9227500","M2021CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678490","16S Biopsy Sample M2021CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939114","","3.74","1","12877","6438500","M2021CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678489","16S Biopsy Sample M2021CB2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939113","","10.86","1","37961","18980500","M2021CB2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678488","16S Biopsy Sample H4008CB2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939111","","18.53","1","64939","32469500","H4008CB2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678487","16S Biopsy Sample H4009CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939110","","17.5","1","60937","30468500","H4009CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678486","16S Biopsy Sample H4031CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939107","","19.95","1","69012","34506000","H4031CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678485","16S Biopsy Sample H4006CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939109","","7.67","1","26546","13273000","H4006CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678484","16S Biopsy Sample H4007CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939108","","12.43","1","43798","21899000","H4007CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678483","16S Biopsy Sample H4007CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939106","","12.24","1","44935","22467500","H4007CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678482","16S Biopsy Sample H4007CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939105","","16.24","1","56781","28390500","H4007CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678481","16S Biopsy Sample H4007CB2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939104","","11.98","1","42830","21415000","H4007CB2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678480","16S Biopsy Sample H4008CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939102","","14.82","1","51279","25639500","H4008CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678479","16S Biopsy Sample H4008CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939103","","13.17","1","45866","22933000","H4008CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678478","16S Biopsy Sample H4008CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939101","","18.62","1","65070","32535000","H4008CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678477","16S Biopsy Sample M2014CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939099","","9.59","1","33317","16658500","M2014CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678476","16S Biopsy Sample M2014CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939100","","4.78","1","16544","8272000","M2014CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678475","16S Biopsy Sample M2008CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939098","","10.52","1","36709","18354500","M2008CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678474","16S Biopsy Sample H4045CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939097","","13","1","45309","22654500","H4045CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678473","16S Biopsy Sample H4045CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939096","","16.2","1","56224","28112000","H4045CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678472","16S Biopsy Sample H4044CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939095","","21.35","1","73967","36983500","H4044CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678471","16S Biopsy Sample M2008CB2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939094","","17.29","1","60702","30351000","M2008CB2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678470","16S Biopsy Sample M2008CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939093","","15.55","1","54500","27250000","M2008CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678469","16S Biopsy Sample M2008CSC3_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939092","","12.03","1","41880","20940000","M2008CSC3_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678468","16S Biopsy Sample M2008CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939091","","5.71","1","19938","9969000","M2008CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678467","16S Biopsy Sample H4031CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939087","","16.93","1","59259","29629500","H4031CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678466","16S Biopsy Sample H4014CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939089","","18.32","1","63542","31771000","H4014CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678465","16S Biopsy Sample H4014CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939090","","18.27","1","64211","32105500","H4014CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678464","16S Biopsy Sample H4015CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939086","","15.99","1","56251","28125500","H4015CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678463","16S Biopsy Sample H4015CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939088","","0.14","1","254","127000","H4015CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678462","16S Biopsy Sample H4010CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939083","","14.2","1","50457","25228500","H4010CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678461","16S Biopsy Sample H4009CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939085","","13.57","1","47706","23853000","H4009CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678460","16S Biopsy Sample H4013CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939082","","13.98","1","50080","25040000","H4013CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678459","16S Biopsy Sample H4010CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939084","","14.74","1","52588","26294000","H4010CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678458","16S Biopsy Sample H4016CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939079","","17.67","1","62195","31097500","H4016CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678457","16S Biopsy Sample H4016CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939081","","17.87","1","62233","31116500","H4016CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678456","16S Biopsy Sample M2060CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939080","","10.57","1","36955","18477500","M2060CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678455","16S Biopsy Sample M2060CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939078","","12.64","1","43807","21903500","M2060CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678454","16S Biopsy Sample M2047CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939076","","0.8","1","2525","1262500","M2047CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678453","16S Biopsy Sample M2047CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939077","","7.06","1","24608","12304000","M2047CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678452","16S Biopsy Sample M2042CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939075","","12.06","1","42833","21416500","M2042CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678451","16S Biopsy Sample M2042CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939074","","14.6","1","51134","25567000","M2042CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678450","16S Biopsy Sample M2041CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939073","","6.14","1","21620","10810000","M2041CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678449","16S Biopsy Sample M2041CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939072","","11.77","1","41275","20637500","M2041CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678448","16S Biopsy Sample M2061CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939069","","9.83","1","34379","17189500","M2061CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678447","16S Biopsy Sample M2061CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939071","","16.78","1","58953","29476500","M2061CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678446","16S Biopsy Sample H4019CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939070","","16.69","1","57546","28773000","H4019CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678445","16S Biopsy Sample H4020CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939068","","19.84","1","71697","35848500","H4020CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678444","16S Biopsy Sample H4019CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939067","","15.88","1","55050","27525000","H4019CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678443","16S Biopsy Sample H4019CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939063","","16.54","1","57667","28833500","H4019CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678442","16S Biopsy Sample H4018CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939065","","5.67","1","19796","9898000","H4018CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678441","16S Biopsy Sample H4018CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939064","","11.35","1","39140","19570000","H4018CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678440","16S Biopsy Sample H4017CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939066","","18.48","1","64525","32262500","H4017CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678439","16S Biopsy Sample H4017CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939059","","18.63","1","64327","32163500","H4017CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678438","16S Biopsy Sample H4020CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939062","","18.23","1","65813","32906500","H4020CSC2_BP","AMPLICON","METAGENOMIC","PCR"
